행정구역,생활밀접업종,2021년 1분기,2021년 1분기,2021년 1분기,2022년 1분기,2022년 1분기,2022년 1분기,2023년 1분기,2023년 1분기,2023년 1분기
행정구역,생활밀접업종,전체 점포수,프랜차이즈 점포수,일반 점포수,전체 점포수,프랜차이즈 점포수,일반 점포수,전체 점포수,프랜차이즈 점포수,일반 점포수
행정구역,Unnamed: 1_level_2,Unnamed: 2_level_2,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2,Unnamed: 7_level_2,Unnamed: 8_level_2,Unnamed: 9_level_2,Unnamed: 10_level_2
하위 메뉴 펼침중랑구,외식업/ 분식전문점,389,88,301,390,82,308,418,67,351
하위 메뉴 펼침성북구,외식업/ 분식전문점,528,91,437,521,80,441,536,78,458
하위 메뉴 펼침강북구,외식업/ 분식전문점,334,56,278,344,58,286,359,57,302
하위 메뉴 펼침도봉구,외식업/ 분식전문점,302,60,242,310,60,250,317,58,259
하위 메뉴 펼침노원구,외식업/ 분식전문점,487,137,350,473,126,347,488,118,370
하위 메뉴 펼침은평구,외식업/ 분식전문점,528,96,432,523,87,436,518,76,442
하위 메뉴 펼침서대문구,외식업/ 분식전문점,503,78,425,508,73,435,559,70,489
하위 메뉴 펼침마포구,외식업/ 분식전문점,734,130,604,763,123,640,864,109,755
하위 메뉴 펼침양천구,외식업/ 분식전문점,439,109,330,424,99,325,440,96,344
하위 메뉴 펼침강서구,외식업/ 분식전문점,646,164,482,663,152,511,721,144,577
하위 메뉴 펼침구로구,외식업/ 분식전문점,456,115,341,463,106,357,480,106,374
하위 메뉴 펼침금천구,외식업/ 분식전문점,321,81,240,344,90,254,359,83,276
하위 메뉴 펼침영등포구,외식업/ 분식전문점,699,108,591,723,107,616,741,101,640
하위 메뉴 펼침동작구,외식업/ 분식전문점,398,90,308,386,84,302,416,81,335
하위 메뉴 펼침관악구,외식업/ 분식전문점,631,110,521,597,104,493,614,99,515
하위 메뉴 펼침서초구,외식업/ 분식전문점,828,147,681,820,141,679,832,132,700
하위 메뉴 펼침강남구,외식업/ 분식전문점,1216,205,1011,1208,197,1011,1317,187,1130
하위 메뉴 펼침송파구,외식업/ 분식전문점,812,195,617,825,197,628,878,193,685
하위 메뉴 펼침강동구,외식업/ 분식전문점,533,130,403,542,131,411,547,121,426
하위 메뉴 펼침서울시 전체,외식업/ 호프-간이주점,10334,1364,8970,9201,1207,7994,8761,1162,7599
하위 메뉴 펼침종로구,외식업/ 호프-간이주점,455,57,398,420,54,366,389,49,340
하위 메뉴 펼침중구,외식업/ 호프-간이주점,330,29,301,304,27,277,282,24,258
하위 메뉴 펼침용산구,외식업/ 호프-간이주점,353,31,322,317,27,290,294,29,265
하위 메뉴 펼침성동구,외식업/ 호프-간이주점,243,42,201,209,36,173,199,35,164
하위 메뉴 펼침광진구,외식업/ 호프-간이주점,456,68,388,400,58,342,372,50,322
하위 메뉴 펼침동대문구,외식업/ 호프-간이주점,330,39,291,284,35,249,282,33,249
하위 메뉴 펼침중랑구,외식업/ 호프-간이주점,401,57,344,345,51,294,356,48,308
하위 메뉴 펼침성북구,외식업/ 호프-간이주점,326,52,274,272,47,225,262,46,216
하위 메뉴 펼침강북구,외식업/ 호프-간이주점,370,40,330,318,35,283,300,31,269
하위 메뉴 펼침도봉구,외식업/ 호프-간이주점,221,29,192,210,27,183,212,26,186
하위 메뉴 펼침노원구,외식업/ 호프-간이주점,274,44,230,244,40,204,237,38,199
하위 메뉴 펼침은평구,외식업/ 호프-간이주점,398,53,345,350,45,305,346,46,300
하위 메뉴 펼침서대문구,외식업/ 호프-간이주점,341,41,300,283,36,247,278,39,239
하위 메뉴 펼침마포구,외식업/ 호프-간이주점,776,80,696,667,69,598,610,68,542
하위 메뉴 펼침양천구,외식업/ 호프-간이주점,350,44,306,321,41,280,293,37,256
하위 메뉴 펼침강서구,외식업/ 호프-간이주점,576,84,492,514,71,443,474,71,403
하위 메뉴 펼침구로구,외식업/ 호프-간이주점,427,55,372,389,51,338,386,50,336
하위 메뉴 펼침금천구,외식업/ 호프-간이주점,273,29,244,233,28,205,235,29,206
하위 메뉴 펼침영등포구,외식업/ 호프-간이주점,576,62,514,537,54,483,521,55,466
하위 메뉴 펼침동작구,외식업/ 호프-간이주점,294,43,251,259,41,218,247,34,213
하위 메뉴 펼침관악구,외식업/ 호프-간이주점,500,54,446,462,49,413,433,44,389
하위 메뉴 펼침서초구,외식업/ 호프-간이주점,389,72,317,363,59,304,336,56,280
하위 메뉴 펼침강남구,외식업/ 호프-간이주점,726,104,622,685,87,598,621,87,534
하위 메뉴 펼침송파구,외식업/ 호프-간이주점,524,96,428,447,85,362,434,86,348
하위 메뉴 펼침강동구,외식업/ 호프-간이주점,425,59,366,368,54,314,362,51,311
하위 메뉴 펼침서울시 전체,외식업/ 커피-음료,19854,5494,14360,21349,5848,15501,23235,6061,17174
하위 메뉴 펼침종로구,외식업/ 커피-음료,1117,283,834,1181,299,882,1279,305,974
하위 메뉴 펼침중구,외식업/ 커피-음료,1026,342,684,1070,345,725,1135,354,781
하위 메뉴 펼침용산구,외식업/ 커피-음료,749,148,601,792,153,639,881,157,724
하위 메뉴 펼침성동구,외식업/ 커피-음료,688,155,533,770,167,603,856,168,688
하위 메뉴 펼침광진구,외식업/ 커피-음료,704,171,533,750,180,570,833,190,643
하위 메뉴 펼침동대문구,외식업/ 커피-음료,544,144,400,622,174,448,673,180,493
하위 메뉴 펼침중랑구,외식업/ 커피-음료,416,106,310,471,129,342,530,156,374
하위 메뉴 펼침성북구,외식업/ 커피-음료,601,167,434,671,172,499,763,189,574
하위 메뉴 펼침강북구,외식업/ 커피-음료,403,94,309,443,112,331,490,111,379
하위 메뉴 펼침도봉구,외식업/ 커피-음료,331,83,248,350,101,249,371,101,270
하위 메뉴 펼침노원구,외식업/ 커피-음료,580,174,406,609,191,418,663,204,459
하위 메뉴 펼침은평구,외식업/ 커피-음료,569,146,423,631,166,465,671,169,502
하위 메뉴 펼침서대문구,외식업/ 커피-음료,559,180,379,604,183,421,676,192,484
하위 메뉴 펼침마포구,외식업/ 커피-음료,1626,303,1323,1790,321,1469,1998,331,1667
하위 메뉴 펼침양천구,외식업/ 커피-음료,478,153,325,534,168,366,574,181,393
하위 메뉴 펼침강서구,외식업/ 커피-음료,886,283,603,988,312,676,1056,307,749
하위 메뉴 펼침구로구,외식업/ 커피-음료,512,192,320,565,213,352,612,228,384
하위 메뉴 펼침금천구,외식업/ 커피-음료,459,183,276,498,198,300,545,208,337
하위 메뉴 펼침영등포구,외식업/ 커피-음료,1041,345,696,1108,378,730,1189,394,795
하위 메뉴 펼침동작구,외식업/ 커피-음료,581,169,412,595,163,432,630,161,469
하위 메뉴 펼침관악구,외식업/ 커피-음료,671,168,503,732,180,552,799,187,612
하위 메뉴 펼침서초구,외식업/ 커피-음료,1208,325,883,1251,319,932,1336,325,1011
하위 메뉴 펼침강남구,외식업/ 커피-음료,2225,683,1542,2319,690,1629,2466,704,1762
하위 메뉴 펼침송파구,외식업/ 커피-음료,1215,332,883,1277,360,917,1432,374,1058
하위 메뉴 펼침강동구,외식업/ 커피-음료,665,165,500,728,174,554,777,185,592
