분기,시군구명,서비스업종코드,서비스업종,매출등급,개업수,폐업수,개업률,폐업률,1년생존률,3년생존률,5년생존률,최근10년영업기간,최근30년영업기간
1,마포구,CS100008,분식,3.0,58,28,7.6,3.7,58.6,37.0,17.9,2.2년,3.5년
1,마포구,CS100009,주점,3.0,6,19,0.9,2.8,78.9,38.4,24.1,3년,4.4년
1,마포구,CS100010,커피,3.0,92,55,5.1,3.1,80.8,48.7,32.9,2.6년,3.3년
1,서대문구,CS100001,한식,3.0,33,27,1.8,1.5,83.1,55.6,40.3,2.9년,5.2년
1,서대문구,CS100002,중식,3.0,7,8,4.0,4.5,84.6,48.4,40.7,2.8년,4.3년
1,서대문구,CS100003,일식,3.0,3,5,1.5,2.5,90.5,57.8,33.3,3년,4.2년
1,서대문구,CS100004,기타 외국식,3.0,5,2,1.9,0.7,77.8,50.9,27.5,2.6년,4.1년
1,서대문구,CS100005,제과제빵,3.0,5,4,2.7,2.1,91.3,39.4,21.4,2.9년,4.7년
1,서대문구,CS100006,패스트푸드,3.0,5,5,2.1,2.1,86.8,53.8,41.9,2.8년,4.7년
1,서대문구,CS100007,치킨,3.0,10,6,5.2,3.1,74.4,31.0,26.5,2.6년,4.6년
1,서대문구,CS100008,분식,3.0,15,12,3.0,2.4,76.9,51.9,33.0,2.5년,4년
1,서대문구,CS100009,주점,3.0,1,12,0.4,4.2,76.7,37.2,22.2,2.9년,4.5년
1,서대문구,CS100010,커피,3.0,28,13,4.6,2.2,80.8,46.2,30.2,2.7년,3.5년
1,서초구,CS100001,한식,4.0,43,65,1.4,2.2,81.3,52.7,34.5,2.9년,4.9년
1,서초구,CS100002,중식,4.0,9,7,3.4,2.7,81.6,55.2,29.7,2.8년,5년
1,서초구,CS100003,일식,3.0,12,9,3.2,2.4,91.1,60.0,29.9,3년,4.7년
1,서초구,CS100004,기타 외국식,3.0,15,8,2.7,1.5,80.3,54.9,43.2,3년,3.8년
1,서초구,CS100005,제과제빵,3.0,7,9,1.9,2.4,81.6,64.1,29.8,3년,4.8년
1,서초구,CS100006,패스트푸드,3.0,7,12,2.4,4.1,87.5,70.3,33.3,3년,4.5년
1,서초구,CS100007,치킨,4.0,4,9,1.7,3.9,74.5,52.2,29.1,2.7년,4.7년
1,서초구,CS100008,분식,3.0,27,19,3.3,2.3,64.8,52.9,33.6,2.8년,4.1년
1,서초구,CS100009,주점,3.0,2,8,0.6,2.2,87.8,35.5,25.8,3년,4.9년
1,서초구,CS100010,커피,3.0,59,44,4.7,3.5,81.8,51.7,31.6,2.8년,3.7년
1,성동구,CS100001,한식,3.0,39,56,2.0,2.9,76.9,51.7,39.5,2.9년,4.9년
1,성동구,CS100002,중식,3.0,7,4,4.5,2.6,81.0,44.4,22.2,2.7년,4.5년
1,성동구,CS100003,일식,3.0,7,4,3.9,2.2,89.2,43.9,25.0,2.6년,3.8년
1,성동구,CS100004,기타 외국식,3.0,14,9,4.1,2.6,92.6,64.7,32.6,2.3년,3.3년
1,성동구,CS100005,제과제빵,3.0,5,7,2.5,3.5,94.9,50.0,31.6,2.6년,4.1년
1,성동구,CS100006,패스트푸드,3.0,5,2,2.5,1.0,84.2,44.7,38.5,2.7년,3.8년
1,성동구,CS100007,치킨,3.0,4,12,2.2,6.5,80.6,39.5,36.8,2.6년,4.6년
1,성동구,CS100008,분식,3.0,18,13,4.7,3.4,74.7,45.1,17.4,2.4년,4년
1,성동구,CS100009,주점,3.0,4,8,1.9,3.8,82.1,41.8,29.2,2.9년,4.5년
1,성동구,CS100010,커피,3.0,37,22,4.8,2.9,77.4,50.3,31.8,2.7년,3.3년
1,성북구,CS100001,한식,3.0,40,43,1.9,2.1,83.7,57.7,36.9,2.9년,4.9년
1,성북구,CS100002,중식,3.0,6,4,3.6,2.4,93.8,51.4,25.0,2.9년,5.1년
1,성북구,CS100003,일식,3.0,4,1,2.3,0.6,73.1,53.3,30.4,2.6년,4년
1,성북구,CS100004,기타 외국식,2.0,9,5,3.6,2.0,85.7,56.4,46.7,2.7년,3.9년
1,성북구,CS100005,제과제빵,3.0,4,4,1.9,1.9,85.7,61.1,23.5,2.9년,5.1년
1,성북구,CS100006,패스트푸드,3.0,9,6,3.8,2.5,78.7,58.1,40.9,2.9년,4.7년
1,성북구,CS100007,치킨,3.0,12,12,5.0,5.0,72.5,30.2,26.8,2.6년,4.5년
1,성북구,CS100008,분식,3.0,15,16,2.9,3.1,70.5,43.1,24.8,2.7년,3.9년
1,성북구,CS100009,주점,3.0,3,13,1.1,4.8,77.1,44.2,19.6,2.8년,4.4년
1,성북구,CS100010,커피,3.0,30,16,4.5,2.4,84.6,51.4,28.7,2.7년,3.5년
1,송파구,CS100001,한식,3.0,81,100,2.2,2.7,77.2,53.4,36.8,2.7년,4.5년
1,송파구,CS100002,중식,3.0,13,9,4.7,3.2,83.3,41.8,49.0,2.6년,4.2년
1,송파구,CS100003,일식,3.0,20,13,3.8,2.5,82.4,47.8,43.0,2.8년,4.5년
1,송파구,CS100004,기타 외국식,3.0,14,7,2.7,1.3,83.9,63.2,38.8,2.7년,3.7년
1,송파구,CS100005,제과제빵,3.0,10,11,2.7,2.9,84.4,53.2,28.1,2.6년,4.5년
1,송파구,CS100006,패스트푸드,3.0,12,13,2.7,3.0,82.4,57.3,34.7,2.7년,4.1년
1,송파구,CS100007,치킨,3.0,12,16,3.3,4.4,72.4,44.7,27.4,2.5년,4.4년
1,송파구,CS100008,분식,3.0,49,21,5.9,2.5,61.7,44.8,22.7,2.4년,3.6년
1,송파구,CS100009,주점,3.0,5,11,1.1,2.5,68.5,42.7,23.7,2.7년,4.3년
1,송파구,CS100010,커피,3.0,59,52,4.6,4.1,74.2,46.7,29.9,2.6년,3.3년
1,양천구,CS100001,한식,3.0,40,42,2.2,2.4,79.1,50.2,31.9,2.7년,4.5년
1,양천구,CS100002,중식,3.0,4,4,3.0,3.0,70.6,47.6,37.5,2.8년,4.8년
1,양천구,CS100003,일식,3.0,4,4,2.4,2.4,77.1,51.4,40.9,2.5년,4년
1,양천구,CS100004,기타 외국식,3.0,7,7,4.3,4.3,84.6,48.4,30.8,2.3년,3.9년
1,양천구,CS100005,제과제빵,3.0,5,7,2.4,3.3,88.9,47.4,32.3,2.8년,4.7년
1,양천구,CS100006,패스트푸드,3.0,3,5,1.5,2.5,76.9,55.2,21.2,2.5년,4.1년
1,양천구,CS100007,치킨,3.0,10,11,4.3,4.7,63.0,45.5,25.0,2.4년,4.3년
1,양천구,CS100008,분식,3.0,18,15,4.2,3.5,64.3,42.7,23.8,2.4년,3.9년
1,양천구,CS100009,주점,3.0,2,5,0.6,1.6,77.3,32.4,18.4,2.7년,4.1년
1,양천구,CS100010,커피,3.0,33,17,6.2,3.2,85.6,47.8,27.6,2.6년,3.3년
1,영등포구,CS100001,한식,3.0,58,68,1.7,2.0,82.3,56.9,34.9,2.8년,4.8년
1,영등포구,CS100002,중식,2.0,25,23,4.2,3.8,75.9,48.0,25.4,2.5년,3.6년
1,영등포구,CS100003,일식,3.0,10,7,2.9,2.0,85.3,43.4,47.9,2.9년,4.6년
1,영등포구,CS100004,기타 외국식,3.0,12,15,3.5,4.4,82.8,53.3,41.7,2.6년,3.8년
