분기,시군구명,서비스업종,1년생존률,3년생존률,5년생존률
4,노원구,기타 외국식,85.1,67.6,46.7
4,은평구,기타 외국식,80.9,54.5,26.1
4,서대문구,기타 외국식,78.6,53.7,31.6
4,마포구,기타 외국식,77.1,56.3,29.7
4,양천구,기타 외국식,78,54.1,30.4
4,강서구,기타 외국식,75.9,44.9,41.3
4,구로구,기타 외국식,84.8,53.3,50
4,금천구,기타 외국식,69.2,52.6,22.2
4,영등포구,기타 외국식,73.4,59.4,44.8
4,동작구,기타 외국식,85.2,51.5,26.5
4,관악구,기타 외국식,64.4,64.6,41.7
4,서초구,기타 외국식,82.2,61.3,43.4
4,강남구,기타 외국식,74.6,48.8,40.1
4,송파구,기타 외국식,80.2,55.5,41.3
4,강동구,기타 외국식,72,52.2,40
1,종로구,제과제빵,87.1,63.2,29.3
1,중구,제과제빵,88,52.5,34.1
1,용산구,제과제빵,93.3,50,26.7
1,성동구,제과제빵,94.9,50,31.6
1,광진구,제과제빵,82.9,45.3,30
1,동대문구,제과제빵,90.3,31,42.3
1,중랑구,제과제빵,77.1,46.4,22.6
1,성북구,제과제빵,85.7,61.1,23.5
1,강북구,제과제빵,83.3,46.2,31.8
1,도봉구,제과제빵,77.8,34.8,27.8
1,노원구,제과제빵,90,57.1,34.1
1,은평구,제과제빵,89.7,55.6,46.3
1,서대문구,제과제빵,91.3,39.4,21.4
1,마포구,제과제빵,80.7,48.6,25
1,양천구,제과제빵,88.9,47.4,32.3
1,강서구,제과제빵,86.5,42.9,42.6
1,구로구,제과제빵,82.1,42.9,40
1,금천구,제과제빵,83.3,46.4,28.6
1,영등포구,제과제빵,81.4,62.5,29.5
1,동작구,제과제빵,87,48.8,23.3
1,관악구,제과제빵,87.1,50,26.8
1,서초구,제과제빵,81.6,64.1,29.8
1,강남구,제과제빵,82.7,51.1,36.8
1,송파구,제과제빵,84.4,53.2,28.1
1,강동구,제과제빵,81.1,41.5,25
2,종로구,제과제빵,89.2,64.3,29.3
2,중구,제과제빵,86.2,55.6,32.5
2,용산구,제과제빵,92.1,53.8,27
2,성동구,제과제빵,91.7,54.8,27.5
2,광진구,제과제빵,81.8,46.6,25.8
2,동대문구,제과제빵,86.1,32.1,39.1
2,중랑구,제과제빵,77.4,42.9,23.1
2,성북구,제과제빵,85.7,62.2,20.5
2,강북구,제과제빵,91.3,45,39.1
2,도봉구,제과제빵,79.2,29.2,18.8
2,노원구,제과제빵,87.5,50,35.1
2,은평구,제과제빵,92.1,43.9,44.4
2,서대문구,제과제빵,88.9,48.7,8.3
2,마포구,제과제빵,77.6,46.9,23.7
2,양천구,제과제빵,81.8,44.7,33.3
2,강서구,제과제빵,83.1,42.2,37.1
2,구로구,제과제빵,80.6,37.9,40.7
2,금천구,제과제빵,85.7,51.7,33.3
2,영등포구,제과제빵,82.2,60.5,37
2,동작구,제과제빵,85.7,55.9,31.9
2,관악구,제과제빵,69.7,43.2,35.1
2,서초구,제과제빵,80,70,31.5
2,강남구,제과제빵,84.9,53.8,35.8
2,송파구,제과제빵,84.7,51.3,28.7
2,강동구,제과제빵,82,41.4,38.3
3,종로구,제과제빵,85.7,66,36.2
3,중구,제과제빵,82.1,61.1,31
3,용산구,제과제빵,89.5,57.1,42.1
3,성동구,제과제빵,87.5,59,32.5
3,광진구,제과제빵,75,50,37
3,동대문구,제과제빵,77.1,40.7,41.7
3,중랑구,제과제빵,74.1,40.5,27.3
3,성북구,제과제빵,87.8,50,20.9
3,강북구,제과제빵,94.7,45.5,26.1
3,도봉구,제과제빵,88.5,29.2,10
3,노원구,제과제빵,81.3,42.5,35
3,은평구,제과제빵,91.7,57.4,36
3,서대문구,제과제빵,87.9,52.3,16
3,마포구,제과제빵,75.7,47.1,23.7
3,양천구,제과제빵,82.2,47.2,28.6
3,강서구,제과제빵,77.6,52.4,32.8
3,구로구,제과제빵,80,30.3,45.2
3,금천구,제과제빵,61.5,57.7,41.7
3,영등포구,제과제빵,75,54.3,44.7
3,동작구,제과제빵,83.3,57.6,31.7
3,관악구,제과제빵,72.7,56.8,28.6
3,서초구,제과제빵,78.8,70,36.2
3,강남구,제과제빵,88.4,50.6,36.4
3,송파구,제과제빵,79.2,41.4,26.5
3,강동구,제과제빵,82,29.2,38.8
4,종로구,제과제빵,81.6,64,36.6
4,중구,제과제빵,85.7,64.1,31
4,용산구,제과제빵,90.5,55.3,40.5
4,성동구,제과제빵,84.8,64.1,21.4
4,광진구,제과제빵,84.4,51.2,25.9
4,동대문구,제과제빵,76.7,41.4,37.5
4,중랑구,제과제빵,78.3,35.3,21.7
4,성북구,제과제빵,89.2,51.4,30.2
4,강북구,제과제빵,90,66.7,25
4,도봉구,제과제빵,85.2,38.5,30
4,노원구,제과제빵,81.6,44.9,34.2
4,은평구,제과제빵,87.8,53.1,37.5
4,서대문구,제과제빵,88.2,57.9,31
4,마포구,제과제빵,80.3,55,25
4,양천구,제과제빵,77.8,44.7,32.1
4,강서구,제과제빵,80.8,60.3,35.6
4,구로구,제과제빵,80,34.2,46.2
4,금천구,제과제빵,83.3,60,41.7
4,영등포구,제과제빵,73.9,61.3,47.1
