분기,시군구명,서비스업종,개업수,폐업수,개업률,폐업률
3,동작구,기타 외국식,7,10,4.5,6.5
3,관악구,기타 외국식,13,15,4.6,5.3
3,서초구,기타 외국식,17,24,3.1,4.4
3,강남구,기타 외국식,65,61,4.4,4.1
3,송파구,기타 외국식,20,16,3.8,3
3,강동구,기타 외국식,7,7,3.3,3.3
4,종로구,기타 외국식,21,16,3.8,2.9
4,중구,기타 외국식,19,14,4.3,3.2
4,용산구,기타 외국식,52,25,6.1,2.9
4,성동구,기타 외국식,23,13,6.3,3.5
4,광진구,기타 외국식,17,7,6.4,2.6
4,동대문구,기타 외국식,7,5,3.4,2.4
4,중랑구,기타 외국식,10,7,7.9,5.5
4,성북구,기타 외국식,10,8,4.1,3.3
4,강북구,기타 외국식,3,5,2.8,4.7
4,도봉구,기타 외국식,2,2,2,2
4,노원구,기타 외국식,8,9,4.2,4.8
4,은평구,기타 외국식,9,10,5.4,6
4,서대문구,기타 외국식,11,9,4.2,3.4
4,마포구,기타 외국식,42,35,4.4,3.7
4,양천구,기타 외국식,9,4,5.5,2.5
4,강서구,기타 외국식,12,11,4.1,3.7
4,구로구,기타 외국식,5,1,3.3,0.7
4,금천구,기타 외국식,4,5,3.7,4.6
4,영등포구,기타 외국식,16,15,4.7,4.4
4,동작구,기타 외국식,11,5,6.8,3.1
4,관악구,기타 외국식,8,16,2.9,5.8
4,서초구,기타 외국식,30,10,5.3,1.8
4,강남구,기타 외국식,55,51,3.7,3.4
4,송파구,기타 외국식,20,19,3.8,3.6
4,강동구,기타 외국식,12,10,5.6,4.7
1,종로구,제과제빵,11,2,4.4,0.8
1,중구,제과제빵,3,9,1.2,3.7
1,용산구,제과제빵,7,4,2.9,1.7
1,성동구,제과제빵,5,7,2.5,3.5
1,광진구,제과제빵,7,3,3.1,1.3
1,동대문구,제과제빵,3,7,1.8,4.2
1,중랑구,제과제빵,5,6,3.4,4.1
1,성북구,제과제빵,4,4,1.9,1.9
1,강북구,제과제빵,4,2,3.5,1.8
1,도봉구,제과제빵,4,2,3.4,1.7
1,노원구,제과제빵,6,5,2.6,2.1
1,은평구,제과제빵,7,5,3.3,2.4
1,서대문구,제과제빵,5,4,2.7,2.1
1,마포구,제과제빵,14,11,3.5,2.7
1,양천구,제과제빵,5,7,2.4,3.3
1,강서구,제과제빵,6,4,2,1.3
1,구로구,제과제빵,6,3,3.6,1.8
1,금천구,제과제빵,1,1,1,1
1,영등포구,제과제빵,10,8,3.9,3.1
1,동작구,제과제빵,5,8,2.6,4.1
1,관악구,제과제빵,6,6,2.8,2.8
1,서초구,제과제빵,7,9,1.9,2.4
1,강남구,제과제빵,14,8,2.7,1.5
1,송파구,제과제빵,10,11,2.7,2.9
1,강동구,제과제빵,8,7,3.1,2.7
2,종로구,제과제빵,5,3,2,1.2
2,중구,제과제빵,5,9,2.1,3.7
2,용산구,제과제빵,7,4,2.9,1.7
2,성동구,제과제빵,9,5,4.4,2.5
2,광진구,제과제빵,9,5,4,2.2
2,동대문구,제과제빵,12,4,6.8,2.3
2,중랑구,제과제빵,6,7,4.2,4.9
2,성북구,제과제빵,11,3,5.1,1.4
2,강북구,제과제빵,9,2,7.5,1.7
2,도봉구,제과제빵,5,2,4.2,1.7
2,노원구,제과제빵,6,6,2.6,2.6
2,은평구,제과제빵,6,4,2.8,1.9
2,서대문구,제과제빵,12,4,6.2,2.1
2,마포구,제과제빵,21,22,5.3,5.5
2,양천구,제과제빵,12,11,5.7,5.2
2,강서구,제과제빵,13,6,4.2,1.9
2,구로구,제과제빵,5,5,3,3
2,금천구,제과제빵,4,0,3.8,0
2,영등포구,제과제빵,5,7,2,2.7
2,동작구,제과제빵,6,3,3,1.5
2,관악구,제과제빵,9,9,4.3,4.3
2,서초구,제과제빵,12,6,3.2,1.6
2,강남구,제과제빵,23,23,4.4,4.4
2,송파구,제과제빵,16,9,4.2,2.3
2,강동구,제과제빵,8,2,3,0.8
3,종로구,제과제빵,8,13,3.2,5.2
3,중구,제과제빵,7,4,2.9,1.6
3,용산구,제과제빵,8,4,3.3,1.6
3,성동구,제과제빵,7,8,3.5,4
3,광진구,제과제빵,10,10,4.4,4.4
3,동대문구,제과제빵,7,6,4,3.4
3,중랑구,제과제빵,6,6,4.2,4.2
3,성북구,제과제빵,9,7,4.2,3.2
3,강북구,제과제빵,2,3,1.7,2.5
3,도봉구,제과제빵,8,4,6.5,3.3
3,노원구,제과제빵,6,8,2.6,3.4
3,은평구,제과제빵,10,8,4.7,3.7
3,서대문구,제과제빵,12,7,6,3.5
3,마포구,제과제빵,22,17,5.4,4.2
3,양천구,제과제빵,2,9,1,4.4
3,강서구,제과제빵,7,15,2.3,5
3,구로구,제과제빵,5,6,3,3.6
3,금천구,제과제빵,7,7,6.6,6.6
3,영등포구,제과제빵,8,11,3.2,4.3
3,동작구,제과제빵,10,9,5,4.5
3,관악구,제과제빵,7,7,3.3,3.3
3,서초구,제과제빵,7,9,1.9,2.4
3,강남구,제과제빵,23,13,4.3,2.4
3,송파구,제과제빵,14,19,3.7,5
3,강동구,제과제빵,6,13,2.3,5.1
4,종로구,제과제빵,11,12,4.5,4.9
4,중구,제과제빵,7,2,2.8,0.8
4,용산구,제과제빵,13,8,5.2,3.2
4,성동구,제과제빵,11,10,5.4,4.9
4,광진구,제과제빵,6,12,2.7,5.4
4,동대문구,제과제빵,8,2,4.4,1.1
4,중랑구,제과제빵,5,3,3.4,2.1
4,성북구,제과제빵,6,6,2.8,2.8
4,강북구,제과제빵,3,4,2.5,3.4
4,도봉구,제과제빵,8,4,6.3,3.1
4,노원구,제과제빵,7,9,3,3.9
4,은평구,제과제빵,8,5,3.7,2.3
4,서대문구,제과제빵,7,5,3.5,2.5
4,마포구,제과제빵,24,9,5.7,2.1
4,양천구,제과제빵,8,2,3.8,1
