분기,시군구명,서비스업종,1년생존률,3년생존률,5년생존률
1,마포구,제과제빵,67.7,37.5,25
1,양천구,제과제빵,75,46.4,32.1
1,강서구,제과제빵,72.9,42.4,35.6
1,구로구,제과제빵,84.6,50,46.2
1,금천구,제과제빵,66.7,50,41.7
1,영등포구,제과제빵,78.4,56.9,47.1
1,동작구,제과제빵,81,52.4,35.7
1,관악구,제과제빵,77.4,38.7,32.3
1,서초구,제과제빵,75.4,56.1,40.4
1,강남구,제과제빵,73.5,51,35.7
1,송파구,제과제빵,67.4,38.9,26.3
1,강동구,제과제빵,82.2,60,44.4
2,종로구,제과제빵,85.4,61,34.1
2,중구,제과제빵,81,50,31
2,용산구,제과제빵,78.4,56.8,40.5
2,성동구,제과제빵,71.4,38.1,21.4
2,광진구,제과제빵,70.4,48.1,22.2
2,동대문구,제과제빵,66.7,41.7,37.5
2,중랑구,제과제빵,52.2,34.8,21.7
2,성북구,제과제빵,69.8,41.9,30.2
2,강북구,제과제빵,90,50,25
2,도봉구,제과제빵,90,50,30
2,노원구,제과제빵,71.1,42.1,34.2
2,은평구,제과제빵,80,47.5,37.5
2,서대문구,제과제빵,75.9,58.6,31
2,마포구,제과제빵,67.7,37.5,25
2,양천구,제과제빵,75,46.4,32.1
2,강서구,제과제빵,72.9,42.4,35.6
2,구로구,제과제빵,84.6,50,46.2
2,금천구,제과제빵,66.7,50,41.7
2,영등포구,제과제빵,78.4,56.9,47.1
2,동작구,제과제빵,81,52.4,35.7
2,관악구,제과제빵,77.4,38.7,32.3
2,서초구,제과제빵,75.4,56.1,40.4
2,강남구,제과제빵,73.5,51,35.7
2,송파구,제과제빵,67.4,38.9,26.3
2,강동구,제과제빵,82.2,60,44.4
3,종로구,제과제빵,85.4,61,34.1
3,중구,제과제빵,81,50,31
3,용산구,제과제빵,78.4,56.8,40.5
3,성동구,제과제빵,71.4,38.1,21.4
3,광진구,제과제빵,70.4,48.1,22.2
3,동대문구,제과제빵,66.7,41.7,37.5
3,중랑구,제과제빵,52.2,34.8,21.7
3,성북구,제과제빵,69.8,41.9,30.2
3,강북구,제과제빵,90,50,25
3,도봉구,제과제빵,90,50,30
3,노원구,제과제빵,71.1,42.1,34.2
3,은평구,제과제빵,80,47.5,37.5
3,서대문구,제과제빵,75.9,58.6,31
3,마포구,제과제빵,67.7,37.5,25
3,양천구,제과제빵,75,46.4,32.1
3,강서구,제과제빵,72.9,42.4,35.6
3,구로구,제과제빵,84.6,50,46.2
3,금천구,제과제빵,66.7,50,41.7
3,영등포구,제과제빵,78.4,56.9,47.1
3,동작구,제과제빵,81,52.4,35.7
3,관악구,제과제빵,77.4,38.7,32.3
3,서초구,제과제빵,75.4,56.1,40.4
3,강남구,제과제빵,73.5,51,35.7
3,송파구,제과제빵,67.4,38.9,26.3
3,강동구,제과제빵,82.2,60,44.4
4,종로구,제과제빵,85.4,61,34.1
4,중구,제과제빵,81,50,31
4,용산구,제과제빵,78.4,56.8,40.5
4,성동구,제과제빵,71.4,38.1,21.4
4,광진구,제과제빵,70.4,48.1,22.2
4,동대문구,제과제빵,66.7,41.7,37.5
4,중랑구,제과제빵,52.2,34.8,21.7
4,성북구,제과제빵,69.8,41.9,30.2
4,강북구,제과제빵,90,50,25
4,도봉구,제과제빵,90,50,30
4,노원구,제과제빵,71.1,42.1,34.2
4,은평구,제과제빵,80,47.5,37.5
4,서대문구,제과제빵,75.9,58.6,31
4,마포구,제과제빵,67.7,37.5,25
4,양천구,제과제빵,75,46.4,32.1
