,분기,시군구명,서비스업종코드,서비스업종,매출등급,매출등급01,개업수,폐업수,개업률,폐업률,1년생존률,3년생존률,5년생존률,1년생존률(신),3년생존률(신),5년생존률(신),최근10년영업기간,최근30년영업기간
121,1,은평구,CS100005,제과제빵,2.7432432432432434,1,7,5,3.3,2.4,80.0,47.5,37.5,89.7,55.6,46.3,2.8년,4.6년
122,1,종로구,CS100005,제과제빵,3.0725806451612905,1,11,2,4.4,0.8,85.4,61.0,34.1,87.1,63.2,29.3,2.9년,4.7년
123,1,중구,CS100005,제과제빵,3.3069306930693068,2,3,9,1.2,3.7,81.0,50.0,31.0,88.0,52.5,34.1,3년,5년
124,1,중랑구,CS100005,제과제빵,2.6944444444444446,0,5,6,3.4,4.1,52.2,34.8,21.7,77.1,46.4,22.6,2.4년,4.4년
125,1,강남구,CS100006,패스트푸드,3.3620071684587813,2,14,18,2.3,2.9,71.6,48.4,32.6,81.4,54.0,35.9,2.9년,4.4년
126,1,강동구,CS100006,패스트푸드,2.863636363636364,1,8,11,3.2,4.4,81.8,51.5,27.3,77.2,55.3,35.0,2.7년,4.2년
127,1,강북구,CS100006,패스트푸드,2.73,1,3,1,1.9,0.6,88.5,65.4,46.2,77.1,54.8,31.8,2.6년,4.3년
128,1,강서구,CS100006,패스트푸드,3.0,1,12,4,3.8,1.3,71.7,52.2,41.3,81.8,59.0,30.2,2.5년,4.1년
129,1,관악구,CS100006,패스트푸드,2.8461538461538463,1,8,11,3.1,4.3,68.8,35.4,22.9,66.7,43.5,39.1,2.5년,4.1년
130,1,광진구,CS100006,패스트푸드,3.037878787878788,1,9,8,4.0,3.5,73.8,45.2,31.0,69.7,57.1,47.2,2.8년,4.6년
131,1,구로구,CS100006,패스트푸드,2.848,1,9,1,4.5,0.5,79.3,58.6,37.9,89.2,46.7,28.6,2.8년,4.4년
132,1,금천구,CS100006,패스트푸드,3.0,1,2,5,1.5,3.8,81.3,56.3,43.8,86.7,65.2,50.0,2.8년,4년
133,1,노원구,CS100006,패스트푸드,2.8098159509202456,1,8,12,3.2,4.8,77.5,55.0,32.5,84.1,46.7,34.9,2.7년,4.7년
134,1,도봉구,CS100006,패스트푸드,2.976470588235294,1,1,2,0.9,1.7,81.8,72.7,63.6,75.0,68.4,38.9,2.9년,4.4년
135,1,동대문구,CS100006,패스트푸드,2.563025210084034,0,9,4,4.1,1.8,84.4,50.0,43.8,80.6,54.5,45.7,2.8년,4.3년
136,1,동작구,CS100006,패스트푸드,2.9411764705882355,1,9,8,4.1,3.7,73.3,46.7,36.7,87.8,48.9,33.3,2.7년,4.4년
137,1,마포구,CS100006,패스트푸드,2.9800995024875623,1,13,7,3.3,1.8,74.7,44.6,36.1,88.5,45.7,31.3,2.8년,4.1년
138,1,서대문구,CS100006,패스트푸드,2.867647058823529,1,5,5,2.1,2.1,75.0,40.6,31.3,86.8,53.8,41.9,2.8년,4.7년
139,1,서초구,CS100006,패스트푸드,3.357142857142857,2,7,12,2.4,4.1,73.5,52.9,47.1,87.5,70.3,33.3,3년,4.5년
140,1,성동구,CS100006,패스트푸드,3.298245614035088,2,5,2,2.5,1.0,73.7,47.4,28.9,84.2,44.7,38.5,2.7년,3.8년
141,1,성북구,CS100006,패스트푸드,2.8380281690140845,1,9,6,3.8,2.5,83.3,50.0,26.7,78.7,58.1,40.9,2.9년,4.7년
142,1,송파구,CS100006,패스트푸드,2.916317991631799,1,12,13,2.7,3.0,72.2,45.6,32.9,82.4,57.3,34.7,2.7년,4.1년
143,1,양천구,CS100006,패스트푸드,2.964028776978417,1,3,5,1.5,2.5,78.1,50.0,31.3,76.9,55.2,21.2,2.5년,4.1년
144,1,영등포구,CS100006,패스트푸드,3.2312925170068025,2,11,10,4.1,3.7,75.0,55.0,47.5,81.1,56.8,38.3,3년,4.4년
145,1,용산구,CS100006,패스트푸드,3.2291666666666665,2,5,4,2.2,1.8,83.8,51.4,43.2,80.0,62.9,33.3,3년,4.6년
146,1,은평구,CS100006,패스트푸드,2.746153846153846,1,4,4,1.9,1.9,69.0,42.9,33.3,81.0,54.1,39.5,2.6년,4.2년
147,1,종로구,CS100006,패스트푸드,3.3904761904761904,2,4,4,1.5,1.5,76.6,61.7,55.3,85.4,61.2,50.0,3.4년,4.8년
148,1,중구,CS100006,패스트푸드,3.4019607843137254,2,4,4,1.7,1.7,78.4,43.2,35.1,84.8,53.1,40.7,3.1년,4.7년
149,1,중랑구,CS100006,패스트푸드,2.6605504587155964,0,7,3,4.2,1.8,83.3,50.0,29.2,80.6,56.7,48.0,2.7년,4년
150,1,강남구,CS100007,치킨,3.7708333333333335,2,5,17,1.4,4.9,67.7,35.4,26.2,71.1,49.2,24.3,2.7년,4.6년
151,1,강동구,CS100007,치킨,2.842696629213483,1,5,16,1.7,5.3,79.1,37.2,23.3,79.3,35.2,31.0,2.4년,4.1년
152,1,강북구,CS100007,치킨,2.651851851851852,0,4,9,1.9,4.3,65.0,40.0,32.5,64.4,35.6,25.0,2.5년,4.1년
153,1,강서구,CS100007,치킨,2.8798283261802573,1,14,16,4.1,4.7,67.2,29.7,17.2,67.1,45.3,25.9,2.5년,4.1년
154,1,관악구,CS100007,치킨,2.8058823529411763,1,6,10,2.2,3.6,68.1,37.7,26.1,57.6,32.8,17.9,2.5년,4년
155,1,광진구,CS100007,치킨,2.8424657534246576,1,9,5,3.9,2.2,76.7,48.8,27.9,81.0,45.2,23.5,2.5년,4.3년
156,1,구로구,CS100007,치킨,2.9593023255813957,1,9,10,3.3,3.6,61.8,43.6,29.1,82.6,45.1,29.2,2.6년,4.3년
157,1,금천구,CS100007,치킨,2.846846846846846,1,6,8,3.4,4.5,67.7,38.7,22.6,80.6,52.6,20.0,2.8년,4.6년
158,1,노원구,CS100007,치킨,2.9679144385026737,1,12,15,4.1,5.1,62.5,30.4,19.6,73.8,40.6,21.9,2.4년,4.2년
159,1,도봉구,CS100007,치킨,2.953846153846154,1,5,8,2.5,3.9,75.0,46.9,37.5,75.5,33.3,22.0,2.6년,4.1년
160,1,동대문구,CS100007,치킨,2.6,0,5,13,2.0,5.2,77.2,50.9,43.9,63.2,33.9,34.5,2.5년,4.2년
161,1,동작구,CS100007,치킨,3.053691275167785,1,3,10,1.3,4.3,77.8,42.6,33.3,70.2,41.1,26.9,2.7년,4.4년
162,1,마포구,CS100007,치킨,3.149732620320856,2,5,11,1.9,4.2,78.4,39.2,27.5,74.5,35.1,28.6,2.7년,4.4년
163,1,서대문구,CS100007,치킨,2.717741935483871,1,10,6,5.2,3.1,65.6,34.4,25.0,74.4,31.0,26.5,2.6년,4.6년
164,1,서초구,CS100007,치킨,3.6597222222222223,2,4,9,1.7,3.9,70.7,46.3,26.8,74.5,52.2,29.1,2.7년,4.7년
165,1,성동구,CS100007,치킨,3.1951219512195124,2,4,12,2.2,6.5,64.5,29.0,22.6,80.6,39.5,36.8,2.6년,4.6년
166,1,성북구,CS100007,치킨,2.804878048780488,1,12,12,5.0,5.0,60.5,39.5,27.9,72.5,30.2,26.8,2.6년,4.5년
167,1,송파구,CS100007,치킨,2.991031390134529,1,12,16,3.3,4.4,67.4,33.7,25.8,72.4,44.7,27.4,2.5년,4.4년
168,1,양천구,CS100007,치킨,3.05,1,10,11,4.3,4.7,71.8,48.7,30.8,63.0,45.5,25.0,2.4년,4.3년
169,1,영등포구,CS100007,치킨,3.036144578313253,1,6,5,2.2,1.9,75.0,46.9,31.3,72.1,43.2,27.1,2.5년,4.7년
170,1,용산구,CS100007,치킨,3.2674418604651163,2,2,3,1.5,2.2,64.3,50.0,35.7,80.0,47.6,21.4,2.8년,5년
171,1,은평구,CS100007,치킨,2.810344827586207,1,15,7,5.6,2.6,78.0,54.2,37.3,70.4,24.3,24.6,2.3년,4.1년
172,1,종로구,CS100007,치킨,3.3529411764705883,2,3,3,2.3,2.3,70.6,47.1,29.4,81.0,50.0,20.0,2.7년,5.5년
173,1,중구,CS100007,치킨,3.425531914893617,2,2,7,1.4,4.8,76.0,40.0,20.0,73.3,50.0,29.0,3년,5.8년
174,1,중랑구,CS100007,치킨,2.6459627329192545,0,10,13,4.1,5.4,47.9,31.3,27.1,77.3,28.1,23.7,2.2년,3.9년
175,1,강남구,CS100008,분식,3.5620029455081,2,59,49,4.9,4.1,55.8,33.9,25.4,60.0,32.5,21.6,2.2년,3.6년
176,1,강동구,CS100008,분식,2.7333333333333334,1,18,9,3.3,1.7,66.2,39.2,29.2,71.1,38.1,28.5,2.4년,3.5년
177,1,강북구,CS100008,분식,2.476237623762376,0,16,10,4.7,2.9,57.4,41.5,36.2,60.0,37.9,25.8,2.4년,3.6년
178,1,강서구,CS100008,분식,3.0223285486443383,1,48,32,7.2,4.8,70.8,44.6,31.0,68.1,40.5,32.7,2.3년,3.6년
179,1,관악구,CS100008,분식,2.823393167342212,1,18,16,3.0,2.7,51.2,32.3,22.8,56.6,41.5,22.4,2.3년,3.8년
180,1,광진구,CS100008,분식,2.881412391738841,1,28,23,5.4,4.5,68.0,38.8,28.2,59.8,43.0,34.3,2.4년,3.9년
181,1,구로구,CS100008,분식,2.7291338582677165,1,22,12,4.8,2.6,67.9,39.5,27.2,74.4,47.3,21.3,2.5년,3.9년
182,1,금천구,CS100008,분식,2.795643153526971,1,13,12,3.8,3.5,62.7,45.8,37.3,76.5,54.5,24.6,2.5년,3.7년
183,1,노원구,CS100008,분식,2.804065040650406,1,21,22,4.4,4.7,67.9,45.0,34.9,62.9,47.6,29.1,2.5년,3.9년
